,zip_code,y-2016,y-2015,y-2014,y-2013,y-2012,y-2011,y-2010,aggregate
0,75201,13562,12009,11154,10213,9331,8380,9409,74058
1,75202,2236,2206,2063,2133,2005,2060,1666,14369
2,75203,16441,15549,15207,15514,16232,16370,15721,111034
3,75204,29467,28672,27366,26586,26207,26200,26279,190777
4,75205,24076,24050,23669,23384,24116,23658,23061,166014
5,75206,38559,38826,37523,37198,36320,36579,36248,261253
6,75207,8469,8932,9455,9561,9738,9631,9648,65434
7,75208,29767,30139,31426,31299,32077,30743,30171,215622
8,75209,14114,14430,14775,15312,14971,14215,13653,101470
9,75210,8133,7365,6683,6125,5927,5795,7482,47510
10,75211,77608,76261,75924,73530,73775,72169,73146,522413
11,75212,26245,26043,26059,25756,24997,24693,24884,178677
12,75214,34082,33815,33516,33460,32293,32662,32950,232778
13,75215,15145,14645,14490,14118,14430,13931,14648,101407
14,75216,51466,51133,49312,49342,47558,47031,49416,345258
15,75217,82582,82353,83121,82664,82842,82620,80324,576506
16,75218,22282,22264,23153,22743,22103,22708,21665,156918
17,75219,22914,22237,21335,21700,20965,20636,22124,151911
18,75220,43253,44450,44617,43762,43459,43840,41891,305272
19,75223,13975,13573,12988,12583,13191,12878,13947,93135
20,75224,34728,35655,35345,34640,33942,34635,34034,242979
21,75225,21231,21001,20958,20770,20047,20380,20892,145279
22,75226,4032,3571,3582,3265,2811,3091,3506,23858
23,75227,57604,57876,56847,56594,56150,55374,55029,395474
24,75228,74362,73579,71851,70699,68605,65998,66551,491645
25,75229,32677,32806,32986,33371,32820,32711,31571,228942
26,75230,27144,27052,26444,27027,26717,26779,26934,188097
27,75231,39754,37979,35600,34227,34306,35249,37052,254167
28,75232,29188,29155,27953,27317,26426,27546,28682,196267
29,75233,16104,15373,14915,14431,14633,14053,14043,103552
30,75234,31728,30682,29594,29180,28726,28640,28794,207344
31,75235,18138,18914,18923,18864,19334,18493,17177,129843
32,75236,17762,16406,16087,15264,15081,15073,15949,111622
33,75237,19634,19312,18795,17203,17952,17038,17101,127035
34,75238,32714,31362,30242,30594,29853,29204,30483,214452
35,75240,26213,26603,27234,27050,25813,24639,24296,181848
36,75241,29117,29362,29658,29586,28162,27978,27066,200929
37,75243,65351,61406,60064,56910,55747,55142,55406,410026
38,75244,13127,13351,13400,13170,13247,13253,13266,92814
39,75246,2547,2895,2499,2604,3022,3018,2770,19355
40,75247,661,629,538,546,509,447,468,3798
41,75248,36308,35236,34828,34902,34911,34614,33395,244194
42,75249,15767,14496,13795,14172,13684,12900,13373,98187
43,75251,2602,2876,2991,2945,2910,2625,2331,19280
44,75252,26075,25749,25482,24898,25129,24680,24112,176125
45,75253,20881,19514,19016,18370,16873,18287,18450,131391
46,75254,25785,25375,24953,24138,24097,24277,23253,171878
47,75287,53116,52559,51145,50416,49403,49560,49004,355203
