zip_code,EV Charing Station Count,Current Population,Average House Value ($),Average Income Per Household  ($),# Residential/Business Mailbox Ratio,EV Registration Count
75201.0,4,18460.0,630100.0,94872.0,5.0,536.0
75202.0,1,2931.0,269200.0,92500.0,3.0,83.0
75203.0,1,18211.0,108600.0,37418.0,11.0,35.0
75205.0,1,26531.0,1212700.0,159076.0,13.0,540.0
75207.0,2,2449.0,0.0,85075.0,0.0,45.0
75208.0,1,43011.0,325800.0,66230.0,10.0,279.0
75209.0,1,16249.0,576300.0,99003.0,14.0,282.0
75211.0,2,79173.0,122100.0,46226.0,21.0,83.0
75214.0,1,37198.0,516200.0,92676.0,23.0,547.0
75215.0,1,20791.0,82000.0,31558.0,9.0,51.0
75218.0,2,23012.0,353700.0,90522.0,17.0,264.0
75219.0,1,35272.0,324600.0,75476.0,14.0,463.0
75231.0,3,50362.0,347700.0,42541.0,12.0,165.0
75234.0,1,47368.0,200000.0,72054.0,7.0,298.0
75235.0,6,24447.0,192700.0,50254.0,8.0,510.0
75237.0,2,18775.0,136800.0,30638.0,10.0,21.0
75240.0,2,29221.0,236500.0,50767.0,6.0,142.0
75243.0,1,66812.0,264800.0,44542.0,12.0,224.0
75248.0,1,39253.0,419300.0,86326.0,21.0,425.0
75253.0,1,25958.0,54400.0,43574.0,43.0,16.0
75254.0,1,26121.0,288400.0,56902.0,10.0,165.0
