zip_code,Current Population,Average House Value ($),Average Income Per Household  ($),# Residential/Business Mailbox Ratio,EV Registration Count,EV Charging Station Count
75201,18460,630100,94872,5,536,4
75202,2931,269200,92500,3,83,1
75203,18211,108600,37418,11,35,1
75204,45140,378600,81914,20,517,0
75205,26531,1212700,159076,13,540,1
75206,47359,433100,75569,14,498,0
75207,2449,637640,85075,0,45,2
75208,43011,325800,66230,10,279,1
75209,16249,576300,99003,14,282,1
75210,9249,69200,26801,12,5,0
75211,79173,122100,46226,21,83,2
75212,32257,112500,40024,9,58,0
75214,37198,516200,92676,23,547,1
75215,20791,82000,31558,9,51,1
75216,53307,78100,29448,18,38,0
75217,89451,94600,41513,20,38,0
75218,23012,353700,90522,17,264,2
75219,35272,324600,75476,14,463,1
75220,45303,296500,47003,8,262,0
75223,16209,133000,57243,10,42,0
75224,36358,147000,43912,18,50,0
75225,24020,1217600,163935,7,490,0
75226,6610,81700,53405,4,47,0
75227,60610,125300,46754,22,83,0
75228,71300,165800,46061,23,154,0
75229,3753,430800,105606,4,432,0
75230,30695,656600,95119,11,630,0
75231,50362,347700,42541,12,165,3
75232,31011,133500,43816,29,38,0
75233,15362,172300,55393,23,28,0
75234,47368,200000,72054,7,298,1
75235,24447,192700,50254,8,510,6
75236,20015,153100,45625,25,43,0
75237,18775,136800,30638,10,21,2
75238,34171,398200,67789,11,164,0
75240,29221,236500,50767,6,142,2
75241,31061,96700,35845,25,20,0
75243,66812,264800,44542,12,224,1
75244,15726,448300,97263,3,180,0
75246,3420,338500,43153,4,6,0
75247,268,136747,18245,0,17,0
75248,39253,419300,86326,21,425,1
75249,15174,161900,63214,173,45,0
75251,4417,567891,75769,5,35,0
75252,28707,411000,67928,18,323,0
75253,25958,54400,43574,43,16,1
75254,26121,288400,56902,10,165,1
75287,54424,327500,53575,48,298,0
